jobtitle,location,country,function,days_open_in_report_date_range,total_amount_of_views,unique_visits,unique_application_clicks,cost_per_click,cost_per_application,application_through_rate
Mechanical Engineer (Automotive),"Ede, Gelderland, Nederland",Nederland,Engineering,31,5303,3542,686,0.0311719251564397,0.1609489196852909,0.1936758893280632
Legal Counsel,"Amsterdam, Noord-Holland, Nederland",Nederland,Legal,29,3760,3552,72,0.029078736270517,1.43455098934551,0.0202702702702702
Data Scientist,"Amsterdam, Noord-Holland, Nederland",Nederland,Engineering/Information Technology,31,2970,2527,300,0.0436925045129044,0.3680365296803653,0.1187178472497032
Embedded Software Engineer (automotive),"Eindhoven, Noord-Brabant, Nederland",Nederland,Engineering,31,2349,1713,386,0.0644547337443722,0.2860387536375896,0.2253356684179801
Java Developer (Spring Boot),"Rotterdam, Zuid-Holland, Nederland",Nederland,Engineering/Information Technology,31,2240,1584,446,0.0697038881970388,0.2475582038208735,0.2815656565656566
Accountmanager,"Amsterdam, Noord-Holland, Nederland",Nederland,Sales,101,2144,1726,123,0.2084160066032794,2.924601848758213,0.0712630359212051
Business Analist,"Amsterdam, Noord-Holland, Nederland",Nederland,Business Development,31,2106,1903,67,0.0580194213894427,1.6479247597628297,0.0352075669994745
Junior Java Engineer,"Amsterdam, Noord-Holland, Nederland",Nederland,Engineering/Information Technology,15,2062,1399,408,0.0381877466291969,0.1309427880741337,0.2916368834882059
Accountmanager,"Amsterdam, Noord-Holland, Nederland",Nederland,Sales,91,1936,1602,114,0.2023155986523694,2.843066570535929,0.0711610486891385
Accountmanager,"Groningen, Nederland",Nederland,Sales,91,1928,1625,58,0.1994520547945205,5.588096362777515,0.0356923076923076
SEA & online marketing specialist,"Amsterdam, Noord-Holland, Nederland",Nederland,Marketing,30,1910,1514,193,0.0705741843252927,0.5536233941372702,0.1274768824306472
Accountmanager,"Eindhoven, Noord-Brabant, Nederland",Nederland,Sales,101,1908,1663,58,0.216311501742189,6.20217288615966,0.0348767288033674
Accountmanager,"Eindhoven, Noord-Brabant, Nederland",Nederland,Sales,91,1895,1621,75,0.1999442251950005,4.321461187214612,0.0462677359654534
Mechanical Design Engineer,"Eindhoven, Noord-Brabant, Nederland",Nederland,Engineering,15,1860,1371,154,0.0389676568448188,0.3469133606119907,0.112326768781911
Legal Counsel,"Amsterdam, Noord-Holland, Nederland",Nederland,Legal,31,1847,1588,53,0.0695283116524619,2.083225639700181,0.0333753148614609
Accountmanager,"Groningen, Nederland",Nederland,Sales,101,1784,1543,41,0.2331341720008167,8.773805546274641,0.0265716137394685
Team Manager,"Hengelo, Overijssel, Nederland",Nederland,Engineering,31,1743,1463,111,0.0754688714313804,0.9946933234604468,0.0758714969241285
Financial Risk & Data Traineeship,"Utrecht, Utrecht, Nederland",Nederland,Finance,31,1733,1455,126,0.0758838205526526,0.8762774516199174,0.0865979381443299
Legal Counsel,"Amsterdam, Noord-Holland, Nederland",Nederland,Legal,62,1725,1566,53,0.1410101646284924,4.166451279400362,0.0338441890166028
Finance Talent Program,"Amsterdam, Noord-Holland, Nederland",Nederland,Finance,31,1699,1446,92,0.0763561264897023,1.2001191185229303,0.0636237897648686
Maintenance Engineer,"Marum, Groningen, Nederland",Nederland,Engineering/Manufacturing,25,1653,1099,257,0.0810201054507834,0.3464634081338947,0.2338489535941765
Accountmanager,"Delft, Zuid-Holland, Nederland",Nederland,Sales,91,1586,1301,68,0.2491234350815495,4.766317485898469,0.0522674865488086
Financial Risk & Data Traineeship,"Utrecht, Utrecht, Nederland",Nederland,Finance,31,1583,1333,116,0.0828289264096846,0.951818611242324,0.0870217554388597
Legal Counsel,"Amsterdam, Noord-Holland, Nederland",Nederland,Legal,31,1544,1339,52,0.0824577736401117,2.1232876712328768,0.0388349514563106
KYC/CDD Analist Amsterdam,"Amsterdam, Noord-Holland, Nederland",Nederland,Finance/Sales,53,1507,1296,76,0.145653644512092,2.4837779379956744,0.0586419753086419
