title,title_norm,standardized_job_title,job_title,hiring_company,period_start_date,period_end_date,unique_application_clicks,unique_visitors,duration_days
KYC Analist,kyc analist,Bestrijdingsspecialist witwassen,KYC Analist,Brunel,2025-10-28,,38,23321,
KYC Analist,kyc analist,Analist tegen Geldwitwassen,KYC Analist,Brunel,2025-09-25,2025-10-25,72,17130,30.0
Financial Accountant,financial accountant,Financieel accountant,Financial Accountant,Brunel,2025-10-13,2025-10-14,37,7494,1.0
Mechanical Engineer (Automotive),mechanical engineer (automotive),Werktuigbouwkundige,Mechanical Engineer (Automotive),Brunel,2025-08-04,2025-09-03,686,3552,30.0
Financieel controller,financieel controller,Financieel controller,Financieel controller,Brunel,2025-09-22,2025-10-09,48,3672,17.0
Legal Counsel,legal counsel,Juridisch adviseur,Legal Counsel,Brunel,2025-07-31,2025-08-28,72,3554,28.0
Accountmanager,accountmanager,Accountmanager,Accountmanager,Brunel,2025-06-12,,196,2895,
Data Scientist,data scientist,Datawetenschapper,Data Scientist,Brunel,2025-02-13,2025-03-15,300,2527,30.0
Embedded Software Engineer (automotive),embedded software engineer (automotive),SET software-ingenieur,Embedded Software Engineer (automotive),Brunel,2025-04-11,2025-05-11,386,1710,30.0
Java Developer (Spring Boot),java developer (spring boot),Java-ontwikkelaar,Java Developer (Spring Boot),Brunel,2025-02-13,2025-03-15,446,1583,30.0
Business Analist,business analist,Bedrijfsanalist,Business Analist,Brunel,2025-07-08,2025-08-07,67,1903,30.0
SEA & online marketing specialist,sea & online marketing specialist,Online marketing,SEA & online marketing specialist,Brunel,2025-05-06,2025-06-04,193,1510,29.0
Mechanical Design Engineer,mechanical design engineer,Werktuigbouwkundig ingenieur,Mechanical Design Engineer,Brunel,2025-05-21,2025-06-04,153,1371,14.0
Team Manager,team manager,Manager,Team Manager,Brunel,2025-06-26,2025-07-26,111,1464,30.0
Financial Risk & Data Traineeship,financial risk & data traineeship,Financieel professional,Financial Risk & Data Traineeship,Brunel,2025-06-06,2025-07-06,126,1455,30.0
Finance Talent Program,finance talent program,Financiën,Finance Talent Program,Brunel,2025-05-19,2025-06-18,92,1446,30.0
Maintenance Engineer,maintenance engineer,Onderhoudsingenieur,Maintenance Engineer,Brunel,2025-02-04,2025-02-28,257,1099,24.0
Programma Management Ondersteuner,programma management ondersteuner,Supporter,Programma Management Ondersteuner,Brunel,2025-09-22,2025-10-22,52,1261,30.0
KYC/CDD Analist Amsterdam,kyc/cdd analist amsterdam,Analist tegen Geldwitwassen,KYC/CDD Analist Amsterdam,Brunel,2025-03-28,2025-05-19,76,1293,52.0
Junior TM Analist,junior tm analist,Junior analist,Junior TM Analist,Brunel,2025-10-13,2025-11-12,88,1330,30.0
Trainee Finance & Control,trainee finance & control,Financieel controller,Trainee Finance & Control,Brunel,2025-07-09,2025-08-08,82,1193,30.0
Process/ Manufacturing Engineer,process/ manufacturing engineer,Fabricage-ingenieur,Process/ Manufacturing Engineer,Brunel,2025-03-28,2025-04-26,92,1165,29.0
Junior Java Engineer,junior java engineer,Junior Java-ontwikkelaar,Junior Java Engineer,Brunel,2025-03-06,2025-04-05,272,1068,30.0
Project Manager,project manager,Projectmanager,Project Manager,Brunel,2025-02-13,2025-03-15,143,1136,30.0
Contractmanager,contractmanager,Contractmanager,Contractmanager,Brunel,2025-09-22,,79,1110,
Mechanical Engineer,mechanical engineer,Werktuigbouwkundige,Mechanical Engineer,Brunel,2025-06-18,2025-06-27,224,796,9.0
Structural Engineer – Design and Construction,structural engineer - design and construction,Bouwkundig ingenieur,Structural Engineer – Design and Construction,Brunel,2025-02-13,2025-04-07,184,890,53.0
Junior Financial Controller,junior financial controller,Junior Financial Controller,Junior Financial Controller,Brunel,2025-02-13,2025-04-03,53,1107,49.0
Procurement Manager,procurement manager,Inkoopmanager,Procurement Manager,Brunel,2025-06-11,2025-06-27,111,934,16.0
Electrical Engineer,electrical engineer,Elektrisch ingenieur,Electrical Engineer,Brunel,2025-05-15,2025-06-14,145,884,30.0
Site Quality Manager,site quality manager,Kwaliteitsmanager Locatie,Site Quality Manager,Brunel,2025-09-16,2025-10-16,82,954,30.0
Bid Manager,bid manager,Financieel manager,Bid Manager,Brunel,2025-06-12,2025-09-01,86,980,81.0
NOC engineer,noc engineer,Ingenieur netwerkbeheercentrum,NOC engineer,Brunel,2025-03-28,2025-05-19,86,1007,52.0
Embedded Software Engineer,embedded software engineer,SET software-ingenieur,Embedded Software Engineer,Brunel,2025-02-13,2025-03-15,160,883,30.0
Recruiter,recruiter,Recruiter,Recruiter,Brunel,2025-02-05,2025-02-28,53,984,23.0
Senior KYC/CDD analist HBO amsterdam,senior kyc/cdd analist hbo amsterdam,Analist tegen Geldwitwassen,Senior KYC/CDD analist HBO amsterdam,Brunel,2025-03-28,2025-05-19,28,1119,52.0
Junior TM Analist,junior tm analist,Transactiespecialist,Junior TM Analist,Brunel,2025-05-19,2025-06-18,65,954,30.0
Field Manager,field manager,Field Manager,Field Manager,Brunel,2025-09-30,2025-10-17,50,929,17.0
Marketing & Sales Support Specialist,marketing & sales support specialist,Verkoop- en marketingspecialist,Marketing & Sales Support Specialist,Brunel,2025-09-02,2025-09-08,133,787,6.0
Junior Business Controller,junior business controller,Businesscontroller,Junior Business Controller,Brunel,2025-02-13,2025-04-07,47,999,53.0
Credit Risk Analist (NL),credit risk analist (nl),Kredietrisicoanalist,Credit Risk Analist (NL),Brunel,2025-02-13,2025-04-07,43,965,53.0
Agile Coach,agile coach,Agile-coach,Agile Coach,Brunel,2025-03-28,2025-05-19,28,985,52.0
IT-Recruiter,it-recruiter,IT-recruiter,IT-Recruiter,Brunel,2025-09-30,,18,963,
Senior KYC/CDD analist WO Amsterdam,senior kyc/cdd analist wo amsterdam,Analist tegen Geldwitwassen,Senior KYC/CDD analist WO Amsterdam,Brunel,2025-03-28,2025-05-19,33,949,52.0
Offshore Process Operator,offshore process operator,Procesoperator,Offshore Process Operator,Brunel,2025-03-06,2025-04-05,100,786,30.0
Project/Programmamanager,project/programmamanager,Programmamanager,Project/Programmamanager,Brunel,2025-08-15,2025-09-08,45,863,24.0
