Impressions (sponsored),Click through rate (sponsored),Clicks (sponsored),Cost per started application,Started applications (sponsored),Application start rate (sponsored),Cost per click,Total cost,Job post
11459,7.16467405532769,821,10.975,14.0,1.705237515225335,0.18714981729598051,153.65,Projectondersteuner
5688,8.280590717299578,471,7.321666666666666,6.0,1.2738853503184715,0.09326963906581741,43.93,Projectondersteuner
5025,10.34825870646766,520,2.4228169014084506,71.0,13.653846153846153,0.3308076923076923,172.02,Data Scientist
4602,12.212081703607128,562,2.4877777777777776,72.0,12.811387900355871,0.3187188612099644,179.12,Project Control Assistant
4290,9.883449883449885,424,8.732,20.0,4.716981132075472,0.41188679245283016,174.64,QA Specialist
4163,9.560413163583954,398,15.93909090909091,11.0,2.763819095477387,0.4405276381909548,175.33,Projectondersteuner
4078,6.449239823442864,263,5.0840000000000005,15.0,5.7034220532319395,0.2899619771863118,76.26,Procesmanager Visie Cultureel Centrum
3928,9.572301425661914,376,8.74263157894737,19.0,5.053191489361701,0.44178191489361707,166.11,Project Manager
3463,10.597747617672539,367,2.1325,48.0,13.079019073569482,0.2789100817438692,102.36,Supply Chain Planner
3373,9.694633857100504,327,3.2464285714285714,28.0,8.56269113149847,0.27798165137614683,90.9,Procurement Manager
3016,14.257294429708223,430,2.372608695652174,23.0,5.348837209302325,0.12690697674418605,54.57,Project Manager
2970,10.235690235690235,304,2.1382857142857143,35.0,11.513157894736842,0.2461842105263158,74.84,Supply Chain Project Coordinator
2898,5.693581780538302,165,9.364,5.0,3.0303030303030303,0.28375757575757576,46.82,Senior Project Manager Offshore Wind
2873,12.252001392272884,352,8.00125,40.0,11.363636363636363,0.9092329545454546,320.05,Java Developer (Spring Boot)
2789,7.959842237361062,222,4.675,14.0,6.306306306306306,0.2948198198198198,65.45,Supply Chain Planner
2726,7.043286867204696,192,11.715294117647058,17.0,8.854166666666668,1.0372916666666667,199.16,Project Manager
2436,10.755336617405582,262,2.4751724137931035,29.0,11.068702290076336,0.273969465648855,71.78,Teamleader Logistics
2353,13.217169570760731,311,10.141428571428571,49.0,15.755627009646304,1.5978456591639871,496.93,Structural Engineer
2303,9.422492401215806,217,4.32,3.0,1.3824884792626728,0.05972350230414747,12.96,Coördinator Preventief Onderhoud
2264,10.60070671378092,240,2.3126315789473684,19.0,7.916666666666666,0.18308333333333332,43.94,Data Engineer
2219,16.40378548895899,364,2.3007692307692307,26.0,7.142857142857142,0.16434065934065933,59.82,Project Manager
2215,8.17155756207675,181,2.7576923076923077,13.0,7.18232044198895,0.19806629834254144,35.85,Supply Chain Project Coordinator
2141,7.5665576833255495,162,14.700833333333334,12.0,7.4074074074074066,1.0889506172839507,176.41,Traineeship Reliability Engineering
2093,11.99235547061634,251,7.205555555555555,18.0,7.171314741035857,0.5167330677290837,129.7,Supply Chain Project Coordinator
2045,9.04645476772616,185,4.623636363636364,11.0,5.9459459459459465,0.2749189189189189,50.86,Junior Project Engineer Utiliteit Werktuigbouwkundig
1978,7.937310414560161,157,15.987142857142857,7.0,4.45859872611465,0.7128025477707006,111.91,Senior Project Manager Offshore Wind
1967,8.337569903406203,164,8.344545454545456,11.0,6.707317073170732,0.5596951219512195,91.79,Project Manager
1893,9.561542525092445,181,7.943888888888889,18.0,9.94475138121547,0.79,142.99,DevOps Engineer
1820,12.252747252747252,223,4.133076923076922,13.0,5.829596412556054,0.24094170403587442,53.73,Strategisch inkoper
1777,7.034327518289252,125,14.585333333333333,15.0,12.0,1.75024,218.78,Project Manager
1663,9.079975947083584,151,6.2925,4.0,2.6490066225165565,0.16668874172185433,25.17,Projectcoördinator Aardbevingsgebied
1646,9.477521263669502,156,2.894090909090909,22.0,14.102564102564102,0.40814102564102567,63.67,Software Test Engineer
1588,13.602015113350127,216,4.48,1.0,0.4629629629629629,0.020740740740740744,4.48,Projectondersteuner
1537,12.296681847755368,189,8.074615384615385,26.0,13.756613756613756,1.1107936507936509,209.94,Structural Engineer
1535,5.602605863192182,86,1.49,3.0,3.488372093023256,0.05197674418604651,4.47,Senior Machine Learning Engineer
1515,7.7227722772277225,117,6.545555555555556,9.0,7.6923076923076925,0.5035042735042735,58.91,Traineeship Technische Bedrijfskunde
1489,6.245802552048355,93,4.05,10.0,10.75268817204301,0.43548387096774194,40.5,Embedded Software Test Engineer
1463,11.825017088174983,173,8.972222222222221,18.0,10.404624277456648,0.9335260115606936,161.5,Electrical Engineer
1461,8.41889117043121,123,15.117857142857144,14.0,11.38211382113821,1.7207317073170731,211.65,Junior Project Engineer Utiliteit Werktuigbouwkundig
1451,5.168849069607168,75,16.793333333333333,6.0,8.0,1.3434666666666668,100.76,Junior Project Coördinator Installatietechniek
1441,5.621096460791118,81,2.63,3.0,3.7037037037037033,0.0974074074074074,7.89,Factory Project Leader
1438,8.90125173852573,128,7.5577272727272735,22.0,17.1875,1.298984375,166.27,Mechanical Engineer
1432,7.472067039106145,107,7.255,4.0,3.7383177570093453,0.271214953271028,29.02,Omgevingsmanager
1425,11.859649122807017,169,7.3229729729729724,37.0,21.893491124260358,1.6032544378698224,270.95,Structural Engineer – Design and Construction
1424,8.707865168539326,124,3.541818181818182,11.0,8.870967741935484,0.3141935483870968,38.96,Software Test Engineer (Automotive)
1395,11.75627240143369,164,11.9,12.0,7.317073170731707,0.8707317073170733,142.8,Junior Project Engineer Utiliteit Werktuigbouwkundig
1370,3.576642335766423,49,25.1675,4.0,8.16326530612245,2.0544897959183674,100.67,Junior Project Coördinator Installatietechniek
1350,9.333333333333334,126,5.193333333333333,9.0,7.142857142857142,0.370952380952381,46.74,HiL Engineer
1340,5.970149253731343,80,11.24,1.0,1.25,0.1405,11.24,Werkvoorbereider Utiliteit Junior
1289,12.024825446082234,155,3.3131578947368423,19.0,12.258064516129032,0.4061290322580645,62.95,Embedded Software Engineer
1287,8.313908313908314,107,2.5925,4.0,3.7383177570093453,0.09691588785046729,10.37,Document controller
1250,8.16,102,11.42875,16.0,15.686274509803921,1.792745098039216,182.86,Senior Maintenance Engineer E&I
1180,8.813559322033898,104,5.747999999999999,5.0,4.807692307692308,0.27634615384615385,28.74,Proces Engineer
1162,8.089500860585199,94,7.249411764705882,17.0,18.085106382978726,1.311063829787234,123.24,Structural Engineer Pipeline
1145,12.139737991266376,139,2.795714285714286,14.0,10.071942446043165,0.2815827338129496,39.14,Lean Manufacturing Engineer
1142,2.714535901926445,31,16.08,1.0,3.225806451612903,0.5187096774193548,16.08,Wekvoorbereider Maintenance | civiel - Junior
1130,6.637168141592921,75,6.881666666666667,6.0,8.0,0.5505333333333333,41.29,Electrical Mechanical Engineer
1128,10.815602836879433,122,4.26,21.0,17.21311475409836,0.7332786885245901,89.46,Mechanical Engineer
1108,5.234657039711191,58,4.82,2.0,3.4482758620689653,0.16620689655172416,9.64,Werkvergunning Coördinator
1107,10.659439927732612,118,7.265000000000001,10.0,8.47457627118644,0.615677966101695,72.65,DevOps Engineer
1063,4.891815616180621,52,4.55,2.0,3.8461538461538463,0.175,9.1,Emissions Coordinator
1059,7.932011331444759,84,4.615555555555556,9.0,10.714285714285714,0.49452380952380953,41.54,Embedded Software Engineer
1049,7.435653002859867,78,0.0,0.0,0.0,0.0,0.0,Projectcoördinator B
1041,9.510086455331413,99,2.41625,8.0,8.080808080808081,0.19525252525252523,19.33,Manager Mechanical Engineering
1038,9.441233140655106,98,2.281578947368421,19.0,19.387755102040817,0.44234693877551023,43.35,Embedded Software Engineer
1034,10.638297872340425,110,17.44857142857143,7.0,6.363636363636363,1.1103636363636364,122.14,Junior Project Engineer Utiliteit Werktuigbouwkundig
1010,9.405940594059405,95,9.303333333333333,6.0,6.315789473684211,0.5875789473684211,55.82,Equipment Engineer
1005,10.547263681592039,106,2.0566666666666666,6.0,5.660377358490567,0.11641509433962265,12.34,Maintenance Planner
989,8.59453993933266,85,3.1133333333333333,3.0,3.5294117647058822,0.10988235294117647,9.34,Projectmanager Supply Chain
983,6.1037639877924725,60,8.82375,8.0,13.333333333333334,1.1765,70.59,Junior Project Coördinator Installatietechniek
976,6.045081967213115,59,2.9899999999999998,7.0,11.864406779661017,0.3547457627118644,20.93,Procurement Manager (packaging)
972,15.637860082304528,152,4.027142857142858,7.0,4.605263157894736,0.1854605263157895,28.19,Project Manager
963,8.307372793354102,80,2.9699999999999998,7.0,8.75,0.25987499999999997,20.79,System Test Engineer
960,13.750000000000002,132,2.3694736842105266,19.0,14.393939393939394,0.34106060606060606,45.02,Java Developer (Spring Boot)
947,3.167898627243928,30,2.69,2.0,6.666666666666667,0.17933333333333332,5.38,Mechatronic System Designer
907,11.466372657111357,104,1.814,5.0,4.807692307692308,0.08721153846153847,9.07,Well Engineer Junior
894,13.758389261744966,123,10.2325,8.0,6.504065040650407,0.6655284552845528,81.86,Field Service Technician
891,10.1010101010101,90,2.39,4.0,4.444444444444445,0.10622222222222223,9.56,Hardware Engineer
865,7.745664739884393,67,2.065,2.0,2.9850746268656714,0.061641791044776115,4.13,Engine Development Engineer
845,4.970414201183432,42,21.896666666666665,3.0,7.142857142857142,1.564047619047619,65.69,Traineeship Maintenance Engineer
839,8.34326579261025,70,1.7,5.0,7.142857142857142,0.12142857142857143,8.5,Demand Planner
817,8.69033047735618,71,12.3,2.0,2.8169014084507045,0.34647887323943666,24.6,Project Coördinator
809,6.056860321384425,49,4.525,2.0,4.081632653061225,0.18469387755102043,9.05,Projectcoordinator Parking
766,5.87467362924282,45,5.59,2.0,4.444444444444445,0.24844444444444444,11.18,Strategisch Inkoper Mechanica
753,13.280212483399733,100,3.7466666666666666,3.0,3.0,0.1124,11.24,Junior Project Engineer Duurzame Energie
750,7.733333333333333,58,11.08,1.0,1.7241379310344827,0.1910344827586207,11.08,EMVI schrijver
750,3.3333333333333335,25,3.265,4.0,16.0,0.5224,13.06,Technical Recruiter
744,10.21505376344086,76,9.852,5.0,6.578947368421052,0.648157894736842,49.26,Supply Network Planner
738,9.75609756097561,72,5.63,3.0,4.166666666666666,0.23458333333333334,16.89,Consultant Industriële Automatisering
728,7.967032967032966,58,1.53,10.0,17.24137931034483,0.2637931034482759,15.3,Packaging Specification Specialist
723,9.54356846473029,69,9.976666666666667,3.0,4.3478260869565215,0.43376811594202896,29.93,Junior Maintenance Engineer
685,5.547445255474453,38,3.6133333333333333,3.0,7.894736842105263,0.28526315789473683,10.84,EL Specialist
669,3.1390134529147984,21,17.223333333333333,3.0,14.285714285714285,2.4604761904761907,51.67,Junior Werkvoorbereider bouwkunde
665,5.714285714285714,38,19.29,2.0,5.263157894736842,1.0152631578947369,38.58,Junior Project Engineer Utiliteit elektrotechniek
664,11.44578313253012,76,1.755,2.0,2.631578947368421,0.046184210526315786,3.51,Process Safety Engineer
647,5.873261205564142,38,0.0,0.0,0.0,0.0,0.0,Omgevingsmanager - Energie en Water
645,3.10077519379845,20,0.0,0.0,0.0,0.0,0.0,"Recruitment Consultant - Energy, Maritime & Offshore"
633,8.688783570300158,55,7.7375,8.0,14.545454545454545,1.1254545454545455,61.9,Maintenance Engineer
630,5.714285714285714,36,2.21,4.0,11.11111111111111,0.24555555555555555,8.84,Project Lead Engineer
628,5.7324840764331215,36,12.7,2.0,5.555555555555555,0.7055555555555555,25.4,Junior Werkvoorbereider bouwkunde
617,7.779578606158834,48,1.7,2.0,4.166666666666666,0.07083333333333333,3.4,Brand Manager
615,5.203252032520325,32,11.719999999999999,3.0,9.375,1.09875,35.16,Werkvoorbereider Werktuigbouwkunde - Schiphol
612,6.045751633986928,37,5.34,4.0,10.81081081081081,0.5772972972972973,21.36,Software Architect
611,10.801963993453354,66,2.086666666666667,9.0,13.636363636363635,0.28454545454545455,18.78,Clinical Research Officer (CRO)
604,4.304635761589404,26,29.22666666666667,3.0,11.538461538461538,3.3723076923076927,87.68,Junior Uitvoerder Bouwkunde
599,4.340567612687813,26,0.0,0.0,0.0,0.0,0.0,Logistics Engineer NPI
595,15.630252100840336,93,2.0727272727272728,11.0,11.827956989247312,0.24516129032258066,22.8,Clinical Development Scientist
593,10.792580101180437,64,7.3076923076923075,13.0,20.3125,1.484375,95.0,Embedded Software Engineer
584,6.506849315068493,38,2.1375,4.0,10.526315789473683,0.225,8.55,Lead Hardware Engineer (Automotive)
583,10.291595197255575,60,2.555,2.0,3.3333333333333335,0.08516666666666667,5.11,DevOps Engineer
582,6.357388316151202,37,6.502,5.0,13.513513513513514,0.8786486486486486,32.51,Supply Network Planner
580,15.689655172413794,91,2.305,20.0,21.978021978021978,0.5065934065934066,46.1,Structural Engineer – Design and Construction
564,3.900709219858156,22,7.255,2.0,9.090909090909092,0.6595454545454545,14.51,Project Coordinator Meet en Regeltechniek
554,11.371841155234657,63,2.195,6.0,9.523809523809524,0.20904761904761904,13.17,Embedded Software Engineer
550,6.0,33,0.0,0.0,0.0,0.0,0.0,Werkvoorbereider Multimodale Knoop Schiphol
549,11.11111111111111,61,6.654000000000001,5.0,8.19672131147541,0.5454098360655738,33.27,Mechanical Design Engineer
541,13.308687615526802,72,1.7,1.0,1.3888888888888888,0.02361111111111111,1.7,ERP Planner
541,4.621072088724584,25,0.0,0.0,0.0,0.0,0.0,Locatieleider Gebouwservice
541,9.981515711645102,54,2.3825,8.0,14.814814814814813,0.3529629629629629,19.06,Structural Engineer
537,4.0968342644320295,22,14.215,4.0,18.181818181818183,2.5845454545454545,56.86,Junior Uitvoerder Bouwkunde
534,4.868913857677903,26,12.38,1.0,3.8461538461538463,0.4761538461538462,12.38,Maintenance Manager
530,11.88679245283019,63,3.22,4.0,6.349206349206349,0.20444444444444446,12.88,Integrale supply chain planner
527,12.903225806451612,68,10.212,5.0,7.352941176470589,0.7508823529411766,51.06,Maintenance Engineer
526,4.752851711026616,25,48.915,6.0,24.0,11.739600000000001,293.49,Junior Werkvoorbereider bouwkunde
520,7.307692307692308,38,2.045,2.0,5.263157894736842,0.10763157894736841,4.09,Supply Planner
519,13.48747591522158,70,1.96,1.0,1.4285714285714286,0.028,1.96,Inspectie Traineeship
502,6.374501992031872,32,0.0,0.0,0.0,0.0,0.0,Manager Projectbeheersing
499,15.831663326653306,79,7.026923076923077,13.0,16.455696202531644,1.1563291139240506,91.35,Maintenance Engineer
490,3.4693877551020407,17,7.43,1.0,5.88235294117647,0.4370588235294117,7.43,Junior Uitvoerder Bouwkunde
489,9.611451942740286,47,2.31,1.0,2.127659574468085,0.049148936170212765,2.31,Lead Software Engineer
485,2.268041237113402,11,18.26,1.0,9.090909090909092,1.6600000000000001,18.26,Project Coordinator Meet en Regeltechniek
485,7.628865979381444,37,7.805,4.0,10.81081081081081,0.8437837837837837,31.22,Tender Manager
479,12.31732776617954,59,2.876666666666667,3.0,5.084745762711865,0.146271186440678,8.63,Software Engineer
