Company that is looking,State start date,State end date,Original offer date,Jobtitle,Standerdised title,Location,Country,Function,Days open in report date range,Total amount of views,Total number of application clicks,Unique visits,Unieke sollicitatieklikken,Cost per application,Cost per click,Application through rate
Brunel,2025-08-04,2025-09-03,2025-08-04,Mechanical Engineer (Automotive),Werktuigbouwkundige,"Ede, Gelderland, Nederland",Nederland,Engineering,31,5303,714,3542,686,0.16094891968529096,0.03117192515643975,0.19367588932806323
Brunel,2025-07-31,2025-08-28,2025-07-31,Legal Counsel,Juridisch adviseur,"Amsterdam, Noord-Holland, Nederland",Nederland,Legal,29,3760,74,3552,72,1.43455098934551,0.029078736270517096,0.02027027027027027
Brunel,2025-02-13,2025-03-15,2025-02-13,Data Scientist,Datawetenschapper,"Amsterdam, Noord-Holland, Nederland",Nederland,Engineering/Information Technology,31,2970,340,2527,300,0.3680365296803653,0.04369250451290447,0.1187178472497032
Brunel,2025-04-11,2025-05-11,2025-04-11,Embedded Software Engineer (automotive),SET software-ingenieur,"Eindhoven, Noord-Brabant, Nederland",Nederland,Engineering,31,2349,431,1713,386,0.2860387536375896,0.0644547337443722,0.22533566841798014
Brunel,2025-02-13,2025-03-15,2025-02-13,Java Developer (Spring Boot),Java-ontwikkelaar,"Rotterdam, Zuid-Holland, Nederland",Nederland,Engineering/Information Technology,31,2240,513,1584,446,0.2475582038208735,0.06970388819703888,0.2815656565656566
Brunel,2025-06-12,,2025-06-12,Accountmanager,Accountmanager,"Amsterdam, Noord-Holland, Nederland",Nederland,Sales,101,2144,133,1726,123,2.9246018487582135,0.2084160066032794,0.0712630359212051
Brunel,2025-07-08,2025-08-07,2025-07-08,Business Analist,Bedrijfsanalist,"Amsterdam, Noord-Holland, Nederland",Nederland,Business Development,31,2106,76,1903,67,1.6479247597628297,0.05801942138944277,0.03520756699947451
Brunel,2024-10-14,2024-10-28,2024-10-14,Junior Java Engineer,Software-ingenieur,"Amsterdam, Noord-Holland, Nederland",Nederland,Engineering/Information Technology,15,2062,463,1399,408,0.13094278807413376,0.03818774662919698,0.2916368834882059
Brunel,2025-03-11,2025-06-09,2025-03-11,Accountmanager,Accountmanager,"Amsterdam, Noord-Holland, Nederland",Nederland,Sales,91,1936,122,1602,114,2.843066570535929,0.20231559865236948,0.07116104868913857
Brunel,2025-03-11,2025-06-09,2025-03-11,Accountmanager,Accountmanager,"Groningen, Nederland",Nederland,Sales,91,1928,62,1625,58,5.588096362777515,0.19945205479452055,0.03569230769230769
Brunel,2025-05-06,2025-06-04,2025-05-06,SEA & online marketing specialist,Online marketing,"Amsterdam, Noord-Holland, Nederland",Nederland,Marketing,30,1910,198,1514,193,0.5536233941372702,0.07057418432529271,0.12747688243064728
Brunel,2025-06-12,,2025-06-12,Accountmanager,Accountmanager,"Eindhoven, Noord-Brabant, Nederland",Nederland,Sales,101,1908,62,1663,58,6.20217288615966,0.216311501742189,0.03487672880336741
Brunel,2025-03-11,2025-06-09,2025-03-11,Accountmanager,Accountmanager,"Eindhoven, Noord-Brabant, Nederland",Nederland,Sales,91,1895,79,1621,75,4.321461187214612,0.19994422519500055,0.04626773596545342
Brunel,2025-05-21,2025-06-04,2025-05-21,Mechanical Design Engineer,Werktuigbouwkundig ingenieur,"Eindhoven, Noord-Brabant, Nederland",Nederland,Engineering,15,1860,184,1371,154,0.34691336061199074,0.0389676568448188,0.11232676878191102
Brunel,2025-06-10,2025-07-10,2025-06-10,Legal Counsel,Juridisch adviseur,"Amsterdam, Noord-Holland, Nederland",Nederland,Legal,31,1847,66,1588,53,2.083225639700181,0.06952831165246195,0.033375314861460954
Brunel,2025-06-12,,2025-06-12,Accountmanager,Accountmanager,"Groningen, Nederland",Nederland,Sales,101,1784,45,1543,41,8.773805546274641,0.23313417200081676,0.026571613739468567
Brunel,2025-06-26,2025-07-26,2025-06-26,Team Manager,Manager,"Hengelo, Overijssel, Nederland",Nederland,Engineering,31,1743,119,1463,111,0.9946933234604468,0.07546887143138045,0.0758714969241285
Brunel,2025-06-06,2025-07-06,2025-06-06,Financial Risk & Data Traineeship,Financieel professional,"Utrecht, Utrecht, Nederland",Nederland,Finance,31,1733,132,1455,126,0.8762774516199174,0.07588382055265264,0.0865979381443299
Brunel,2025-03-28,2025-05-28,2025-03-28,Legal Counsel,Juridisch adviseur,"Amsterdam, Noord-Holland, Nederland",Nederland,Legal,62,1725,70,1566,53,4.166451279400362,0.14101016462849245,0.03384418901660281
Brunel,2025-05-19,2025-06-18,2025-05-19,Finance Talent Program,Financiën,"Amsterdam, Noord-Holland, Nederland",Nederland,Finance,31,1699,105,1446,92,1.2001191185229303,0.07635612648970234,0.0636237897648686
Brunel,2025-02-04,2025-02-28,2025-02-04,Maintenance Engineer,Onderhoudsingenieur,"Marum, Groningen, Nederland",Nederland,Engineering/Manufacturing,25,1653,262,1099,257,0.34646340813389476,0.0810201054507834,0.2338489535941765
Brunel,2025-03-11,2025-06-09,2025-03-11,Accountmanager,Accountmanager,"Delft, Zuid-Holland, Nederland",Nederland,Sales,91,1586,82,1301,68,4.766317485898469,0.2491234350815495,0.05226748654880861
Brunel,2025-07-31,2025-08-30,2025-07-31,Financial Risk & Data Traineeship,Financieel professional,"Utrecht, Utrecht, Nederland",Nederland,Finance,31,1583,132,1333,116,0.951818611242324,0.08282892640968462,0.08702175543885972
Brunel,2025-07-07,2025-08-06,2025-07-07,Legal Counsel,Juridisch adviseur,"Amsterdam, Noord-Holland, Nederland",Nederland,Legal,31,1544,55,1339,52,2.1232876712328768,0.08245777364011173,0.038834951456310676
Brunel,2025-03-28,2025-05-19,2025-03-28,KYC/CDD Analist Amsterdam,,"Amsterdam, Noord-Holland, Nederland",Nederland,Finance/Sales,53,1507,95,1296,76,2.4837779379956744,0.145653644512092,0.05864197530864197
Brunel,2025-06-12,,2025-06-12,Accountmanager,Accountmanager,"Delft, Zuid-Holland, Nederland",Nederland,Sales,101,1502,45,1281,41,8.773805546274641,0.28081657095804863,0.03200624512099922
Brunel,2025-02-18,2025-03-20,2025-02-18,Legal Counsel,Juridisch adviseur,"Amsterdam, Noord-Holland, Nederland",Nederland,Legal,31,1475,134,1202,126,0.8762774516199174,0.09185603902172179,0.1048252911813644
